IT	UP	TIME	CFG	KEYR	INIT	RUN	HASH	UBST
1	1	2	(25, 25, 50)	4096	1024	1	0.824578298716	0.800364827839
1	1	2	(25, 25, 50)	4096	1024	2	0.842770424363	0.820673371275
1	1	2	(25, 25, 50)	4096	1024	3	0.860584698353	0.844827977639
1	1	2	(25, 25, 50)	4096	1024	4	0.821642243494	0.790436312613
1	1	2	(25, 25, 50)	4096	1024	5	0.724419273744	0.797161626687
1	1	2	(25, 25, 50)	4096	1024	6	0.808045670141	0.833857708665
1	1	2	(25, 25, 50)	4096	1024	7	0.80642691981	0.787095011641
1	1	2	(25, 25, 50)	4096	1024	8	0.739279640172	0.818987168617
1	1	2	(25, 25, 50)	4096	1024	9	0.736757011062	0.83174816337
1	1	2	(25, 25, 50)	4096	1024	10	0.834009013976	0.843624075481
1	1	2	(20, 10, 70)	4096	1024	1	0.755773237344	0.847862693483
1	1	2	(20, 10, 70)	4096	1024	2	0.81634508307	0.887835662305
